Kode Prov,Sektor,Lapangan Usaha,Kode Lapangan Usaha,Nama Lapangan Usaha,PDRB ADHB
15,Industri,3,C,Industri Pengolahan/Manufacturing,19639000000000
15,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,121000000000
15,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",265000000000
15,Industri,6,F,Konstruksi/Construction,13308000000000
15,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,23165000000000
15,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,6231000000000
15,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,2294000000000
15,Industri,10,J,Informasi dan Komunikasi/Information and Communication,7394000000000
15,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,4676000000000
15,Jasa,12,L,Real Estat/Real Estate Activities,2969000000000
15,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,2297000000000
15,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",8563000000000
15,Jasa,15,P,Jasa Pendidikan/Education,6309000000000
15,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,2092000000000
15,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,1835000000000
16,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",60862000000000
16,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,73245000000000
16,Industri,3,C,Industri Pengolahan/Manufacturing,74900000000000
16,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,493000000000
16,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",445000000000
16,Industri,6,F,Konstruksi/Construction,50683000000000
16,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,48532000000000
16,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,8855000000000
16,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,6263000000000
16,Industri,10,J,Informasi dan Komunikasi/Information and Communication,10628000000000
16,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,10082000000000
16,Jasa,12,L,Real Estat/Real Estate Activities,11597000000000
16,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,460000000000
16,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",12091000000000
16,Jasa,15,P,Jasa Pendidikan/Education,9463000000000
16,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,2366000000000
16,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,2795000000000
17,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",17730000000000
17,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,2157000000000
17,Industri,3,C,Industri Pengolahan/Manufacturing,3741000000000
17,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,53000000000
17,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",118000000000
17,Industri,6,F,Konstruksi/Construction,3044000000000
17,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,8699000000000
17,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,4869000000000
17,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,1019000000000
17,Industri,10,J,Informasi dan Komunikasi/Information and Communication,2159000000000
17,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,2031000000000
17,Jasa,12,L,Real Estat/Real Estate Activities,2386000000000
17,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,1342000000000
17,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",5966000000000
17,Jasa,15,P,Jasa Pendidikan/Education,3867000000000
17,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,1003000000000
17,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,492000000000
18,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",93767000000000
18,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,17325000000000
18,Industri,3,C,Industri Pengolahan/Manufacturing,58322000000000
18,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,485000000000
18,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",326000000000
18,Industri,6,F,Konstruksi/Construction,28636000000000
18,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,35214000000000
18,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,16182000000000
18,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,4748000000000
18,Industri,10,J,Informasi dan Komunikasi/Information and Communication,12020000000000
18,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,6759000000000
18,Jasa,12,L,Real Estat/Real Estate Activities,9182000000000
18,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,482000000000
18,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",10760000000000
18,Jasa,15,P,Jasa Pendidikan/Education,8564000000000
18,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,2912000000000
18,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,2768000000000
19,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",13146000000000
19,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,8179000000000
19,Industri,3,C,Industri Pengolahan/Manufacturing,14276000000000
19,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,79000000000
19,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",15000000000
19,Industri,6,F,Konstruksi/Construction,6381000000000
19,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,10891000000000
19,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,2900000000000
19,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,1736000000000
19,Industri,10,J,Informasi dan Komunikasi/Information and Communication,1135000000000
19,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,1281000000000
19,Jasa,12,L,Real Estat/Real Estate Activities,2284000000000
19,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,197000000000
19,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",4116000000000
19,Jasa,15,P,Jasa Pendidikan/Education,1962000000000
19,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,846000000000
19,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,549000000000
21,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",7941000000000
21,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,33210000000000
21,Industri,3,C,Industri Pengolahan/Manufacturing,84435000000000
21,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,2690000000000
21,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",284000000000
21,Industri,6,F,Konstruksi/Construction,41409000000000
21,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,20233000000000
21,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,7507000000000
21,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,5061000000000
21,Industri,10,J,Informasi dan Komunikasi/Information and Communication,4576000000000
21,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,6270000000000
21,Jasa,12,L,Real Estat/Real Estate Activities,3519000000000
21,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,12000000000
21,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",5974000000000
21,Jasa,15,P,Jasa Pendidikan/Education,3428000000000
21,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,2119000000000
21,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,1075000000000
31,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",2061000000000
31,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,5746000000000
31,Industri,3,C,Industri Pengolahan/Manufacturing,323932000000000
31,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,7449000000000
31,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",838000000000
31,Industri,6,F,Konstruksi/Construction,308837000000000
31,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,408987000000000
31,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,85669000000000
31,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,117178000000000
31,Industri,10,J,Informasi dan Komunikasi/Information and Communication,181831000000000
31,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,248213000000000
31,Jasa,12,L,Real Estat/Real Estate Activities,147629000000000
31,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,183377000000000
31,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",125292000000000
31,Jasa,15,P,Jasa Pendidikan/Education,131359000000000
31,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,40465000000000
31,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,91509000000000
32,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",153693000000000
32,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,25482000000000
32,Industri,3,C,Industri Pengolahan/Manufacturing,755387000000000
32,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,10855000000000
32,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",1588000000000
32,Industri,6,F,Konstruksi/Construction,147555000000000
32,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,269778000000000
32,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,103491000000000
32,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,48395000000000
32,Industri,10,J,Informasi dan Komunikasi/Information and Communication,51845000000000
32,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,50121000000000
32,Jasa,12,L,Real Estat/Real Estate Activities,18659000000000
32,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,7339000000000
32,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",40220000000000
32,Jasa,15,P,Jasa Pendidikan/Education,51394000000000
32,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,13473000000000
32,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,36816000000000
33,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",167247000000000
33,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,30023000000000
33,Industri,3,C,Industri Pengolahan/Manufacturing,414989000000000
33,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,1128000000000
33,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",711000000000
33,Industri,6,F,Konstruksi/Construction,122937000000000
33,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,161417000000000
33,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,38028000000000
33,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,38019000000000
33,Industri,10,J,Informasi dan Komunikasi/Information and Communication,39126000000000
33,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,35219000000000
33,Jasa,12,L,Real Estat/Real Estate Activities,19837000000000
33,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,4465000000000
33,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",33086000000000
33,Jasa,15,P,Jasa Pendidikan/Education,52022000000000
33,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,10360000000000
33,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,18437000000000
34,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",11933000000000
34,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,616000000000
34,Industri,3,C,Industri Pengolahan/Manufacturing,15637000000000
34,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,174000000000
34,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",121000000000
34,Industri,6,F,Konstruksi/Construction,11304000000000
34,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,10242000000000
34,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,6784000000000
34,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,12304000000000
34,Industri,10,J,Informasi dan Komunikasi/Information and Communication,9790000000000
34,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,4641000000000
34,Jasa,12,L,Real Estat/Real Estate Activities,8383000000000
34,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,1208000000000
34,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",10213000000000
34,Jasa,15,P,Jasa Pendidikan/Education,9711000000000
34,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,3004000000000
34,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,3109000000000
35,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",258428000000000
35,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,80846000000000
35,Industri,3,C,Industri Pengolahan/Manufacturing,586259000000000
35,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,6675000000000
35,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",1853000000000
35,Industri,6,F,Konstruksi/Construction,197699000000000
35,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,367185000000000
35,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,69176000000000
35,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,116058000000000
35,Industri,10,J,Informasi dan Komunikasi/Information and Communication,92929000000000
35,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,55033000000000
35,Jasa,12,L,Real Estat/Real Estate Activities,32080000000000
35,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,16256000000000
35,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",45741000000000
35,Jasa,15,P,Jasa Pendidikan/Education,52974000000000
35,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,12612000000000
35,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,27395000000000
36,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",33134000000000
36,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,4146000000000
36,Industri,3,C,Industri Pengolahan/Manufacturing,179960000000000
36,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,11971000000000
36,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",449000000000
36,Industri,6,F,Konstruksi/Construction,58783000000000
36,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,69588000000000
36,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,61323000000000
36,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,13556000000000
36,Industri,10,J,Informasi dan Komunikasi/Information and Communication,20563000000000
36,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,17027000000000
36,Jasa,12,L,Real Estat/Real Estate Activities,41872000000000
36,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,6090000000000
36,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",11449000000000
36,Jasa,15,P,Jasa Pendidikan/Education,18785000000000
36,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,6672000000000
36,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,9063000000000
51,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",30902000000000
51,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,2109000000000
51,Industri,3,C,Industri Pengolahan/Manufacturing,13024000000000
51,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,518000000000
51,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",388000000000
51,Industri,6,F,Konstruksi/Construction,19016000000000
51,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,18543000000000
51,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,20360000000000
51,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,50241000000000
51,Industri,10,J,Informasi dan Komunikasi/Information and Communication,11059000000000
51,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,8563000000000
51,Jasa,12,L,Real Estat/Real Estate Activities,8396000000000
51,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,2279000000000
51,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",10928000000000
51,Jasa,15,P,Jasa Pendidikan/Education,11055000000000
51,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,4633000000000
51,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,3347000000000
52,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",27230000000000
52,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,24109000000000
52,Industri,3,C,Industri Pengolahan/Manufacturing,4910000000000
52,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,91000000000
52,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",106000000000
52,Industri,6,F,Konstruksi/Construction,10988000000000
52,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,16381000000000
52,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,8918000000000
52,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,2827000000000
52,Industri,10,J,Informasi dan Komunikasi/Information and Communication,2303000000000
52,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,4257000000000
52,Jasa,12,L,Real Estat/Real Estate Activities,3834000000000
52,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,211000000000
52,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",7438000000000
52,Jasa,15,P,Jasa Pendidikan/Education,5681000000000
52,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,2184000000000
52,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,2460000000000
53,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",26184000000000
53,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,1186000000000
53,Industri,3,C,Industri Pengolahan/Manufacturing,1147000000000
53,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,66000000000
53,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",50000000000
53,Industri,6,F,Konstruksi/Construction,9787000000000
