Kode Prov,Sektor,Tenaga Kerja,Persentase Tenaga Kerja Laki-laki,Persentase Tenaga Kerja Formal,Persentase Tenaga Kerja Penuh,Persentase Tenaga Kerja Pemuda,Persentase Tenaga Kerja Dewasa,Pendidikan Tenaga Kerja Pernah Bersekolah,Pendidikan Tenaga Kerja Sekunder,Pendidikan Tenaga Kerja Tersier,Rata-rata Jam Kerja per Minggu,Rata-rata Gaji per Bulan,PDRB ADHB,PDRB ADHB per Tenaga Kerja
74,Jasa,255907,51.80749256565862,93.86300491975601,68.38929767454583,12.88046047978367,87.11953952021634,97.99458396995784,27.3439179076774,65.6492397628826,38.97697680019266,2810479.1915031634,17226000000000,67313516.23832095
74,Pertanian,427659,67.48601105086061,5.776798804655111,48.767592871890926,14.788184043829315,85.21181595617068,70.9656525409263,17.999621193521005,1.6316738335917167,32.78866390673467,381902.54504406545,25877000000000,60508489.24025918
75,Industri,265744,64.31866758986092,32.52942681678608,77.50015052080198,16.25022578120296,83.74977421879704,75.27996869167319,26.42054006863749,3.1857727737973387,48.637447089896234,1213790.2435426577,13602000000000,51184598.711541936
75,Jasa,122647,38.84563014178904,90.7392761339454,72.04008251322902,14.943700212805858,85.05629978719415,91.34018769313559,30.265721949986546,47.21680921669507,39.94870205026455,2258225.996559231,7815000000000,63719455.02132136
75,Pertanian,167142,76.03714207081403,10.44261765444951,61.848009476971676,11.743906379007072,88.25609362099293,53.516171877804496,6.992258079955965,0.32248028622369007,38.84631945679709,601113.1043962619,13130000000000,78555958.4066243
76,Industri,206281,54.417033076240664,26.003849118435536,70.90134331324747,20.2631362074064,79.7368637925936,80.38840222802875,24.931040667826895,4.107019066225197,44.42831825807319,876978.4517236197,14519000000000,70384572.50061809
76,Jasa,89834,47.43972215419552,92.51174388316228,58.205133913662976,11.18952735044638,88.81047264955362,98.29908497896119,35.37747400761405,54.60293430104415,35.573782831335606,2018556.4269652916,8643000000000,96210788.78820936
76,Pertanian,323280,68.74072011878248,6.607275426874535,38.096696362286565,15.446362286562731,84.55363771343727,69.13666171739669,15.689185845087849,1.713375402128186,28.862173089718,429589.3485214056,16455000000000,50900148.47809948
81,Industri,294009,61.72157995163413,30.970820621137445,76.73778693849508,15.243410915992367,84.75658908400763,91.64107221207513,44.35748565520103,8.007237873670533,46.351254391782255,1399725.0713413535,15665000000000,53280681.88388791
81,Jasa,148491,48.35781293142345,93.1396515613741,78.08823430376252,10.175700884228673,89.82429911577132,99.21880787387788,35.330087345361,56.63710258534187,41.3106387391124,2728099.896842233,14723000000000,99150790.2835862
81,Pertanian,257643,68.55493842254593,8.455110365893892,57.965867498825894,13.8517250614222,86.1482749385778,83.48800471970905,24.21567828351634,2.1723858206898696,37.07469480986082,510606.0294671309,9492000000000,36841676.27298238
82,Industri,171727,64.71201383591398,33.611488001304394,78.68884916175092,17.590710837550297,82.40928916244971,88.51083405638019,41.358668118583566,6.562159706976771,48.412372055869184,1639317.7007692442,16203000000000,94353246.72299638
82,Jasa,108088,51.0454444526682,95.38431648286581,70.83302494263933,10.889275405225373,89.11072459477462,98.5187994967064,31.670490711272297,59.2729997779587,38.96844534676601,2567688.060182444,8341000000000,77168603.360225
82,Pertanian,235800,67.75530110262935,4.491094147582697,62.06149279050043,15.230279898218829,84.769720101781175,80.32909245122985,18.512298558100085,2.574215436810857,38.04299829522178,445752.9892154368,7728000000000,32773536.8956743
91,Industri,165410,65.8847711746569,44.62608064808657,82.05610301674626,13.767003204159362,86.23299679584063,87.78489813191463,42.366241460613026,8.148237712351127,49.929814721451976,2085490.7124720393,51555000000000,311680067.71053743
91,Jasa,111687,63.50246671501607,95.5464825807838,76.36161773527806,10.63507838871131,89.3649216112887,98.2415142317369,36.04448145263101,52.76710807882744,41.462668161434976,3199730.2821545927,12384000000000,110881302.21064225
91,Pertanian,140447,60.457681545351626,8.702215070453622,54.2838223671563,12.849687070567544,87.15031292943246,62.69126432034861,16.737274559086345,2.140309155766944,36.2055871246838,637495.6142459433,7850000000000,55892970.30196444
94,Industri,318913,67.64007738787694,41.60382298620627,82.37387626092382,14.091303897928276,85.90869610207173,91.47855371214094,45.689263215986806,8.382850495276141,48.37665686597582,2793768.8993549966,133714000000000,419280493.4261068
94,Jasa,254178,67.33824327833251,96.17787534719763,77.01846737325812,8.479097325496305,91.5209026745037,97.78304967385061,39.28939562039201,50.51066575392048,40.24594881235868,4005764.0430643093,35625000000000,140157684.77208886
94,Pertanian,1204116,53.518680924429205,1.6941058834863088,48.0246919731986,17.09037999661162,82.90962000338838,42.782838198313115,10.408963920419627,0.6691215796484724,31.94369269229801,224309.49890292963,22277000000000,18500709.233994067
