Kode Prov,Sektor,Kode Lapangan Usaha,Tenaga Kerja,Persentase Tenaga Kerja Laki-laki,Persentase Tenaga Kerja Formal,Persentase Tenaga Kerja Penuh,Persentase Tenaga Kerja Pemuda,Persentase Tenaga Kerja Dewasa,Pendidikan Tenaga Kerja Pernah Bersekolah,Pendidikan Tenaga Kerja Sekunder,Pendidikan Tenaga Kerja Tersier,Rata-rata Jam Kerja per Minggu,Rata-rata Gaji per Bulan,PDRB ADHB,PDRB ADHB per Tenaga Kerja
11,Pertanian,A,865803,64.12186143961155,15.467721872065585,48.37278226109173,12.395082946120537,87.60491705387946,84.62317640387016,23.100058558355656,2.67520440562114,32.41880142872231,668945.9986948533,43404000000000,50131496.425861314
11,Industri,B,17702,87.40255338379845,43.46966444469552,68.87357360750198,18.34256016269348,81.65743983730653,95.73494520393176,43.29454298949271,7.756185741724099,40.52858965437254,2287811.094791549,6798000000000,384024404.0221444
11,Industri,C,171870,48.493628905568166,37.6813870948973,55.4715773549776,17.480653982661316,82.51934601733868,89.2215046255891,38.72694478384825,6.95351137487636,36.11448373341569,1071596.4670972247,7533000000000,43829638.68039797
11,Industri,D,8250,100,98.26666666666667,72.07272727272728,5.672727272727273,94.32727272727273,97.64848484848486,42.81212121212121,23.393939393939394,44.31963636363636,2844693.8181818184,193000000000,23393939.393939395
11,Industri,E,3523,87.68095373261426,58.927050808969625,78.2855520862901,22.764689185353394,77.23531081464661,80.04541583877376,43.25858643201816,11.637808685779165,40.602843601895735,1531737.1558330967,63000000000,17882486.517172866
11,Industri,F,166824,98.58713374574401,55.56634536997075,85.20236896369828,19.71299093655589,80.28700906344412,93.75989066321392,39.108281781997796,5.030451254016208,44.13606076595536,1597909.7318371458,13768000000000,82530091.5935357
11,Industri,G,312471,59.80266968774702,30.697248704679797,76.3891689148753,18.132562701818728,81.86743729818127,92.10262712379709,45.85705553475363,7.870170351808648,47.172031191402965,1187480.7308038187,23841000000000,76298280.48042858
11,Industri,H,81737,97.41610286651088,42.737071338561485,78.20326168075657,13.035712101006888,86.9642878989931,95.954096675924,40.943513953289205,3.407269657560224,45.473539950964984,1853918.1154189657,10190000000000,124668142.94627891
11,Industri,I,99556,48.7193137530636,33.05275422877577,73.72935835107879,16.796576800996423,83.20342319900358,95.31821286512113,48.75246092651372,6.623407931214592,47.8253173012692,810798.4953192173,2224000000000,22339185.98577685
11,Industri,J,7949,72.03421814064662,77.40596301421563,82.90350987545602,19.486727890300667,80.51327210969933,99.16970688136873,55.566737954459676,38.52056862498428,45.36064724919094,2083814.316266197,4354000000000,547741854.3212982
11,Jasa,K,16715,65.58779539335926,100,92.4977565061322,12.958420580317082,87.04157941968292,100,29.829494466048462,68.77056536045468,46.27846190993601,3511803.7690696977,2934000000000,175530960.21537542
11,Jasa,L,233,0,0,0,0,100,100,0,100,6,1166000,5973000000000,25635193133.04721
11,Jasa,"M,N",18203,69.7961874416305,69.88408504092732,74.25149700598801,17.348788661209692,82.6512113387903,98.48376641212987,51.716749986265995,30.14338295885294,41.667895030709104,2152501.2360599902,904000000000,49662143.60270285
11,Jasa,O,147331,67.33681302645064,100,82.61397804942612,6.605534476790356,93.39446552320965,99.8588212935499,45.20772953417814,49.606667978904646,42.82680874543072,3135763.434389232,14628000000000,99286640.28615838
11,Jasa,P,148798,29.091116816086238,98.60750816543234,47.290286159760214,11.269640720977431,88.73035927902257,99.93346684767268,16.628583717523085,79.56961787120794,32.1612205801861,2206626.5729378085,3787000000000,25450610.89530773
11,Jasa,Q,60010,24.462589568405267,95.4224295950675,75.69071821363106,10.413264455924013,89.58673554407599,98.85519080153308,11.69971671388102,83.91101483086152,39.99740327187743,2088563.8860189968,3855000000000,64239293.45109148
11,Jasa,"R,S,T,U",76742,49.28591905345183,50.21239998957546,51.622318938781895,13.568841051836023,86.43115894816398,90.91240780797999,37.295092648093615,7.771494097104584,35.759259993917034,1111395.8327903885,2034000000000,26504391.337207787
12,Pertanian,A,2390797,61.23815614625583,19.45154691092552,51.98751713340781,15.660133419943223,84.33986658005678,80.9612024776675,27.074904310152643,2.0279429830303455,34.48729550532362,691303.2306410791,146366000000000,61220588.782736465
12,Industri,B,40835,89.17105424268397,54.22064405534468,68.06171176686667,25.742622750091833,74.25737724990816,85.64711644422677,30.47140933023142,5.833231296681768,43.84472927409758,1790613.370882821,8870000000000,217215623.85208768
12,Industri,C,687491,56.83361673098266,63.928400517243134,75.58717132297005,21.241732619045194,78.7582673809548,91.86316620872128,48.729947010215405,5.8899680141267305,42.29909204968114,1711048.3566446688,138824000000000,201928461.608952
12,Industri,D,19032,81.45754518705338,96.2694409415721,88.95018915510718,17.53362757461118,82.46637242538881,97.18894493484657,78.36801176965112,13.398486759142497,46.453709541824296,2951201.6603614963,788000000000,41403951.24001681
12,Industri,E,27969,60.9460474096321,58.40752261432301,62.76234402374057,20.626407808645286,79.37359219135472,98.92023311523472,50.89205906539382,13.207479709678575,39.057669547753115,2036581.2149165147,767000000000,27423218.56340949
12,Industri,F,353259,97.53099001016251,60.0182868660105,89.01259415895986,18.701009740728473,81.29899025927153,91.93566193642624,37.17499058764249,4.5190639162767265,45.38239274539044,2027022.5907054031,92590000000000,262102310.20299554
12,Industri,G,1210486,50.59248929768705,33.72083609393252,78.79108060729327,20.28003628294751,79.7199637170525,94.51046934867483,53.328249975629625,8.894196215404392,48.369858623357565,1245067.9471121517,122585000000000,101269242.27128609
