"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",1483,1587,1724,1845,1941
"a. Tanaman Pangan/Food Crops",192,199,219,198,180
"b. Tanaman Hortikultura/Horticultural Crops",394,438,490,525,556
"c. Tanaman Perkebunan/Plantation Crops",474,485,521,578,611
"d. Peternakan/Livestock",389,428,456,504,551
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",34,36,38,41,44
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",1420,1563,1663,1613,1701
"3 Perikanan/Fishery",2655,3123,3447,3833,4208
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",11704,11492,11611,12070,12252
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",132,120,106,96,NA
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",427,471,538,582,642
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",14657,16018,16378,15829,16736
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",451,493,547,590,645
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",6,7,7,8,8
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",13,14,15,15,15
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",686,757,825,846,890
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",23,26,28,31,34
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",2,2,2,2,2
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",0,0,0,0,0
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",76,83,93,97,102
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",11,11,12,13,14
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",22,25,26,28,30
"15 Industri Furnitur/Manufacture of Furniture",97,108,124,131,138
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",6,6,6,6,6
"1 Ketenagalistrikan/Electricity",14,18,24,26,31
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",0,0,0,0,1
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",590,687,748,835,941
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",2290,2678,3113,3547,4003
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",456,545,639,714,789
"3 Angkutan Laut/Sea Transport",262,324,378,417,463
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",28,27,31,34,38
"5 Angkutan Udara/Air Transport",335,417,489,578,677
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",90,107,126,141,159
"1 Penyediaan Akomodasi/Accommodation",80,90,103,114,127
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",207,237,270,298,335
"1 Jasa Perantara Keuangan/Financial Intermediary Services",722,833,949,995,1068
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",14,16,18,20,23
"3 Jasa Keuangan Lainnya/Other Financial Services",23,27,29,32,35
"4 Jasa Penunjang Keuangan/Financial Supporting Service",1,1,1,2,2
