"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",29315,33118,38141,44921,49629
"a. Tanaman Pangan/Food Crops",3315,3603,3912,4298,4383
"b. Tanaman Hortikultura/Horticultural Crops",4092,4849,5406,6344,6647
"c. Tanaman Perkebunan/Plantation Crops",19927,22483,26339,31528,35679
"d. Peternakan/Livestock",1605,1814,2089,2280,2408
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",375,369,395,472,511
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",1555,1835,2119,2266,2296
"3 Perikanan/Fishery",2442,3015,3532,3961,4275
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",27326,28746,22941,22186,26300
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",4911,4660,4237,3868,4904
"3 Pertambangan Bijih Logam/Iron Ore Mining",91,97,88,96,98
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",1673,1945,2210,2344,2440
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",5057,5044,5427,5505,6107
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",4875,5719,6170,6988,7667
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",0,0,0,0,0
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",24,28,28,31,34
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",0,0,0,0,0
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",1535,1731,2058,2058,2216
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",998,1091,1151,1051,1137
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",26,32,35,35,38
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",1373,1522,1507,1523,1605
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",254,274,308,327,335
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",4,4,4,4,5
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",5,6,6,7,8
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",60,64,65,67,72
"15 Industri Furnitur/Manufacture of Furniture",273,326,367,382,405
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",6,8,9,10,10
"1 Ketenagalistrikan/Electricity",48,61,76,97,113
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",5,5,6,7,8
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",2719,3030,3465,3857,4196
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",9327,11137,13785,17014,18968
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",2264,2590,3025,3314,3571
"3 Angkutan Laut/Sea Transport",329,372,418,473,504
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",243,271,294,320,344
"5 Angkutan Udara/Air Transport",675,728,806,1216,1327
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",278,309,370,425,486
"1 Penyediaan Akomodasi/Accommodation",297,330,337,387,444
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",1023,1267,1442,1646,1850
"1 Jasa Perantara Keuangan/Financial Intermediary Services",2372,2534,2663,3074,3291
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",404,449,495,576,623
"3 Jasa Keuangan Lainnya/Other Financial Services",469,547,593,678,747
"4 Jasa Penunjang Keuangan/Financial Supporting Service",10,11,12,13,14
