"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",2950,3525,3424,3907,4392
"a. Tanaman Pangan/Food Crops",440,475,478,443,457
"b. Tanaman Hortikultura/Horticultural Crops",916,945,961,1014,1077
"c. Tanaman Perkebunan/Plantation Crops",1216,1702,1546,1959,2313
"d. Peternakan/Livestock",320,335,371,413,462
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",58,67,68,77,83
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",2657,2903,3122,3503,3464
"3 Perikanan/Fishery",2987,3693,4053,4196,4779
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",3923,3923,3333,2770,2977
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",11065,11813,10583,9530,13556
"3 Pertambangan Bijih Logam/Iron Ore Mining",800,1043,1075,1354,1544
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",2015,2222,2413,2804,3118
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",2138,2598,2833,3202,3948
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",25,30,33,36,39
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",3,3,3,3,4
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",1901,2101,2309,2424,2524
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",518,554,604,673,804
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",13,15,17,17,18
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",11,11,12,12,13
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",40,44,49,53,57
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",124,143,159,163,160
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",17,21,22,24,26
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",12,14,15,12,13
"15 Industri Furnitur/Manufacture of Furniture",47,54,59,64,70
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",35,38,43,48,53
"1 Ketenagalistrikan/Electricity",17,19,26,33,39
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",1,1,1,1,2
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",557,631,707,746,820
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",4560,5258,5940,6913,7973
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",281,308,345,380,428
"3 Angkutan Laut/Sea Transport",582,656,700,723,828
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",238,277,327,372,443
"5 Angkutan Udara/Air Transport",914,1155,1401,1667,2105
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",824,1014,1247,1399,1608
"1 Penyediaan Akomodasi/Accommodation",177,209,229,258,293
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",505,580,670,764,911
"1 Jasa Perantara Keuangan/Financial Intermediary Services",244,262,276,304,311
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",146,171,200,237,268
"3 Jasa Keuangan Lainnya/Other Financial Services",199,220,258,277,305
"4 Jasa Penunjang Keuangan/Financial Supporting Service",0,0,0,0,0
