"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",8347,8545,9443,10036,10424
"a. Tanaman Pangan/Food Crops",3318,3277,3808,4135,4232
"b. Tanaman Hortikultura/Horticultural Crops",2848,2864,3023,3114,3269
"c. Tanaman Perkebunan/Plantation Crops",256,282,279,310,333
"d. Peternakan/Livestock",1758,1930,2137,2265,2359
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",168,191,195,212,231
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",750,816,903,955,1005
"3 Perikanan/Fishery",352,408,448,465,504
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",NA,NA,NA,NA,NA
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",NA,NA,NA,NA,NA
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",495,538,573,593,616
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",5823,6656,7104,7942,8558
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",817,732,742,794,910
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",1208,1340,1459,1602,1736
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",341,352,378,404,430
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",200,201,204,205,225
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",255,277,294,323,347
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",106,116,131,143,153
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",353,343,318,306,310
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",401,430,427,438,473
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",820,884,891,935,939
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",415,461,495,542,562
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",4,3,3,3,3
"15 Industri Furnitur/Manufacture of Furniture",533,523,538,573,626
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",289,296,319,336,363
"1 Ketenagalistrikan/Electricity",85,101,117,141,173
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",1,1,1,1,1
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",1163,1292,1402,1570,1720
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",5775,6389,6941,7762,8521
"1 Angkutan Rel/Railways Transport",62,85,101,109,130
"2 Angkutan Darat/Land Transport",2975,3265,3486,3627,3805
"3 Angkutan Laut/Sea Transport",NA,NA,NA,NA,NA
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",NA,NA,NA,NA,NA
"5 Angkutan Udara/Air Transport",777,886,992,1207,1403
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",968,1077,1184,1308,1447
"1 Penyediaan Akomodasi/Accommodation",1665,1814,2050,2274,2596
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",6619,7510,8333,8981,9708
"1 Jasa Perantara Keuangan/Financial Intermediary Services",2343,2702,3053,3273,3474
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",256,287,305,329,359
"3 Jasa Keuangan Lainnya/Other Financial Services",566,606,657,723,799
"4 Jasa Penunjang Keuangan/Financial Supporting Service",7,8,8,8,9
