"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",14489,15960,18438,20038,21948
"a. Tanaman Pangan/Food Crops",7815,8589,10170,10588,11784
"b. Tanaman Hortikultura/Horticultural Crops",2305,2526,2923,3440,3691
"c. Tanaman Perkebunan/Plantation Crops",1301,1400,1484,1603,1690
"d. Peternakan/Livestock",2751,3108,3510,4020,4370
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",318,336,352,386,412
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",78,78,87,92,94
"3 Perikanan/Fishery",2973,3430,3955,4561,5189
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",NA,NA,NA,NA,NA
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",7641,6735,21033,23110,20582
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",2195,2496,2790,3122,3527
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",1660,1759,1967,2289,2529
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",1057,1144,1132,1177,1257
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",153,164,168,180,196
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",NA,NA,NA,NA,NA
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",223,225,253,277,295
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",49,54,57,62,69
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",13,14,14,15,15
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",4,4,4,4,5
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",194,201,207,220,239
"11 Industri Logam Dasar/Manufacture of Basic Metals",8,8,8,9,10
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",54,55,56,59,62
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",73,73,71,75,82
"15 Industri Furnitur/Manufacture of Furniture",79,80,86,94,104
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",36,38,40,43,47
"1 Ketenagalistrikan/Electricity",37,52,60,74,90
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",0,0,0,0,0
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",1837,2028,2260,2521,2800
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",8197,9545,10704,12013,13581
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",2373,2686,3045,3367,3835
"3 Angkutan Laut/Sea Transport",170,200,224,231,241
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",859,1042,1223,1259,1308
"5 Angkutan Udara/Air Transport",2152,2583,2822,2986,3142
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",250,288,332,359,392
"1 Penyediaan Akomodasi/Accommodation",1014,1270,1447,1642,1828
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",574,676,760,875,999
"1 Jasa Perantara Keuangan/Financial Intermediary Services",1874,2125,2433,2866,3326
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",133,150,167,190,210
"3 Jasa Keuangan Lainnya/Other Financial Services",470,532,580,651,719
"4 Jasa Penunjang Keuangan/Financial Supporting Service",1,2,2,2,2
