"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",15209,17535,18825,20092,21867
"a. Tanaman Pangan/Food Crops",1743,1975,2319,2287,2329
"b. Tanaman Hortikultura/Horticultural Crops",550,620,640,677,651
"c. Tanaman Perkebunan/Plantation Crops",11253,13092,13751,14760,16327
"d. Peternakan/Livestock",1230,1367,1574,1774,1935
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",432,480,542,594,625
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",1234,1425,1627,1697,1358
"3 Perikanan/Fishery",2126,2222,2563,2760,2896
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",836,697,591,607,705
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",9910,7981,7398,8436,10204
"3 Pertambangan Bijih Logam/Iron Ore Mining",4019,2357,1952,2063,2390
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",646,794,915,1059,1133
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",8860,11366,12820,14812,17332
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",10,13,15,18,21
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",NA,NA,NA,NA,NA
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",640,696,782,826,847
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",49,62,73,78,80
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",690,902,1030,1138,1188
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",458,625,701,756,796
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",147,189,209,233,244
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",32,40,41,44,49
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",14,15,17,19,19
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",78,98,108,104,112
"15 Industri Furnitur/Manufacture of Furniture",217,276,306,301,312
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",19,25,29,33,38
"1 Ketenagalistrikan/Electricity",29,39,70,79,94
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",3,3,3,4,4
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",373,419,484,558,634
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",7857,9745,11236,12723,14785
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",1584,2021,2500,2845,3450
"3 Angkutan Laut/Sea Transport",1545,1485,1819,2140,2475
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",1129,1266,1477,1612,1839
"5 Angkutan Udara/Air Transport",270,285,331,405,445
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",338,415,511,581,645
"1 Penyediaan Akomodasi/Accommodation",195,206,239,272,296
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",1230,1375,1640,1923,2111
"1 Jasa Perantara Keuangan/Financial Intermediary Services",1544,1714,1824,2034,2347
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",721,807,880,967,1067
"3 Jasa Keuangan Lainnya/Other Financial Services",396,462,536,609,711
"4 Jasa Penunjang Keuangan/Financial Supporting Service",5,5,7,8,8
