"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",117823,125570,141029,147658,149415
"a. Tanaman Pangan/Food Crops",50707,47798,56032,57840,57343
"b. Tanaman Hortikultura/Horticultural Crops",31125,37493,41223,43471,43040
"c. Tanaman Perkebunan/Plantation Crops",12056,14284,15321,16318,16752
"d. Peternakan/Livestock",21167,23194,25500,26952,29066
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",2767,2801,2953,3076,3214
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",4936,5282,5653,5516,5591
"3 Perikanan/Fishery",8691,9582,10519,11423,12240
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",1639,1926,1958,4287,4849
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",1,NA,NA,NA,NA
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",14430,17728,21271,23193,25174
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",46422,47764,49305,45781,48508
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",90130,105020,121216,137669,149057
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",67644,77940,79339,85368,95580
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",24883,26450,27341,29538,32492
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",2785,3213,3431,3715,3892
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",14986,17255,19189,21658,23490
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",2440,2912,3246,3448,3583
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",17482,20363,22321,23761,25772
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",4032,4436,4438,4868,5213
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",6207,6699,7222,7737,8310
"11 Industri Logam Dasar/Manufacture of Basic Metals",2886,3256,3245,3178,3503
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",5042,5642,5614,5281,5604
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",1151,1249,1255,1384,1446
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",1984,2102,2176,2402,2605
"15 Industri Furnitur/Manufacture of Furniture",3120,3549,4061,4267,4487
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",1068,1177,1244,1407,1447
"1 Ketenagalistrikan/Electricity",739,810,871,956,1090
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",29,33,36,33,38
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",28111,29931,33003,35192,38783
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",87873,95012,102031,111614,122634
"1 Angkutan Rel/Railways Transport",364,507,643,713,817
"2 Angkutan Darat/Land Transport",19222,22321,25666,26847,30685
"3 Angkutan Laut/Sea Transport",1810,2113,2275,2436,2626
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",77,89,98,108,125
"5 Angkutan Udara/Air Transport",1350,1676,1980,2102,2378
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",836,962,1121,1180,1396
"1 Penyediaan Akomodasi/Accommodation",4535,5157,5492,6164,6828
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",19953,22631,25476,28614,31191
"1 Jasa Perantara Keuangan/Financial Intermediary Services",18767,20137,22233,24737,26828
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",522,597,706,825,950
"3 Jasa Keuangan Lainnya/Other Financial Services",4137,4799,5578,6480,7439
"4 Jasa Penunjang Keuangan/Financial Supporting Service",1,1,2,2,2
