"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",962,1008,1096,1159,1189
"a. Tanaman Pangan/Food Crops",26,28,30,34,36
"b. Tanaman Hortikultura/Horticultural Crops",841,879,960,1014,1038
"c. Tanaman Perkebunan/Plantation Crops",NA,NA,NA,NA,NA
"d. Peternakan/Livestock",81,86,90,94,97
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",14,14,16,17,18
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",NA,NA,NA,NA,NA
"3 Perikanan/Fishery",666,711,768,822,872
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",3742,3954,4396,4607,5168
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",NA,NA,NA,NA,NA
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",546,587,647,575,578
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",71,83,87,94,99
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",12565,14427,18506,20559,24037
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",12290,13397,14888,16703,18629
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",271,293,335,348,379
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",418,464,480,564,675
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",6605,7499,8526,9602,11528
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",28751,30366,32247,37550,38820
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",4747,4989,5156,5099,5679
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",2213,2331,2324,2485,2700
"11 Industri Logam Dasar/Manufacture of Basic Metals",6602,7178,7321,7291,8709
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",14954,16284,17905,19364,21254
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",309,355,404,425,477
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",114982,136073,159875,167088,181544
"15 Industri Furnitur/Manufacture of Furniture",2233,2581,2851,3532,4472
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",2488,2908,3608,4391,4931
"1 Ketenagalistrikan/Electricity",1382,1677,2078,2204,2531
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",3696,4010,4121,4141,4918
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",45406,52299,50984,54865,59890
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",215635,252300,279156,304659,349097
"1 Angkutan Rel/Railways Transport",562,616,633,674,734
"2 Angkutan Darat/Land Transport",21420,25381,31286,34659,38460
"3 Angkutan Laut/Sea Transport",5603,6175,6557,6944,7207
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",25,26,28,30,31
"5 Angkutan Udara/Air Transport",197,3392,5492,9806,11697
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",16332,19274,22175,24486,27539
"1 Penyediaan Akomodasi/Accommodation",13238,15507,16454,16782,18194
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",66560,75719,85407,92453,98984
"1 Jasa Perantara Keuangan/Financial Intermediary Services",85842,90877,108819,122438,134273
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",54702,61794,68273,74088,80838
"3 Jasa Keuangan Lainnya/Other Financial Services",15421,17240,19318,20779,22661
"4 Jasa Penunjang Keuangan/Financial Supporting Service",7026,7928,9055,9779,10440
