"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",29357,33156,35275,37275,39947
"a. Tanaman Pangan/Food Crops",10570,12333,13096,13224,13992
"b. Tanaman Hortikultura/Horticultural Crops",5070,5622,6185,6688,7148
"c. Tanaman Perkebunan/Plantation Crops",10292,11508,11981,13080,14198
"d. Peternakan/Livestock",2615,2832,3079,3260,3503
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",810,861,934,1024,1107
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",2078,2325,2765,2954,2884
"3 Perikanan/Fishery",4822,5743,6385,6966,7711
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",NA,NA,NA,NA,NA
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",867,829,712,518,464
"3 Pertambangan Bijih Logam/Iron Ore Mining",0,0,0,0,0
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",5890,7220,7970,8368,8669
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",1,1,1,1,1
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",7323,7742,8394,9346,9797
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",3421,3695,3613,3844,4172
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",7,8,9,9,10
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",8,8,8,9,9
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",7,7,7,8,8
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",31,32,36,34,36
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",2174,2263,2599,2899,3129
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",3049,3498,3461,3439,3463
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",107,109,128,135,140
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",5,5,6,6,6
"15 Industri Furnitur/Manufacture of Furniture",22,22,22,22,22
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",32,35,38,40,42
"1 Ketenagalistrikan/Electricity",91,122,174,206,239
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",1,1,1,1,1
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",3122,3316,3584,3731,3913
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",18575,20398,22700,25471,28378
"1 Angkutan Rel/Railways Transport",21,23,31,36,41
"2 Angkutan Darat/Land Transport",11378,13351,14860,16392,17994
"3 Angkutan Laut/Sea Transport",639,756,785,716,733
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",402,478,523,563,651
"5 Angkutan Udara/Air Transport",2678,3254,4057,4788,5510
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",1376,1543,1756,1968,2202
"1 Penyediaan Akomodasi/Accommodation",414,499,584,673,748
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",1157,1362,1616,1893,2159
"1 Jasa Perantara Keuangan/Financial Intermediary Services",2998,3290,3512,3993,4223
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",142,159,179,202,223
"3 Jasa Keuangan Lainnya/Other Financial Services",1456,1626,1835,1967,2120
"4 Jasa Penunjang Keuangan/Financial Supporting Service",38,44,51,56,62
