"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",9832,10746,12230,13693,14839
"a. Tanaman Pangan/Food Crops",2724,2862,3150,3489,3823
"b. Tanaman Hortikultura/Horticultural Crops",1581,1760,2146,2622,2815
"c. Tanaman Perkebunan/Plantation Crops",3927,4305,4762,5127,5534
"d. Peternakan/Livestock",1419,1636,1948,2204,2399
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",181,183,224,251,267
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",453,435,461,504,500
"3 Perikanan/Fishery",5507,6619,7078,7631,8366
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",187,187,215,154,280
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",717,790,926,1205,1409
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",2608,2861,3192,3488,3640
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",5976,6551,7233,7663,8770
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",20,22,22,25,29
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",2,2,2,2,2
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",80,82,85,84,82
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",164,176,186,230,251
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",88,101,101,95,105
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",2,2,2,2,3
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",283,301,333,335,408
"11 Industri Logam Dasar/Manufacture of Basic Metals",127,130,129,119,123
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",369,387,356,328,386
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",45,45,43,43,38
"15 Industri Furnitur/Manufacture of Furniture",75,84,91,89,84
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",35,38,43,37,32
"1 Ketenagalistrikan/Electricity",50,58,73,84,100
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",3,3,4,4,5
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",3595,3942,4354,4863,5296
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",5257,5974,6888,7311,8071
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",3777,4719,5734,6284,6815
"3 Angkutan Laut/Sea Transport",978,1288,1526,1707,1814
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",20,24,28,30,31
"5 Angkutan Udara/Air Transport",1147,1636,2085,2715,2922
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",226,267,309,347,392
"1 Penyediaan Akomodasi/Accommodation",935,1073,1243,1454,1574
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",524,608,717,807,872
"1 Jasa Perantara Keuangan/Financial Intermediary Services",2009,2111,2227,2861,3188
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",100,112,127,138,151
"3 Jasa Keuangan Lainnya/Other Financial Services",662,765,879,980,1080
"4 Jasa Penunjang Keuangan/Financial Supporting Service",1,1,1,1,2
