"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",6339,7204,7867,8758,9730
"a. Tanaman Pangan/Food Crops",4466,5128,5512,6188,6969
"b. Tanaman Hortikultura/Horticultural Crops",579,683,814,882,947
"c. Tanaman Perkebunan/Plantation Crops",660,699,773,842,893
"d. Peternakan/Livestock",546,592,658,726,797
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",88,101,110,120,124
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",178,201,234,261,254
"3 Perikanan/Fishery",1756,2107,2442,2780,3146
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",NA,NA,NA,NA,NA
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",66,65,65,62,59
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",239,266,311,319,341
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",564,687,775,872,930
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",19,23,26,30,35
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",NA,NA,NA,NA,NA
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",111,125,139,148,145
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",12,13,15,16,20
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",1,1,1,1,1
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",1,1,1,1,1
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",61,66,78,91,99
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",13,16,20,22,22
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",1,1,1,1,1
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",8,8,8,10,10
"15 Industri Furnitur/Manufacture of Furniture",96,108,124,140,146
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",2,2,2,2,2
"1 Ketenagalistrikan/Electricity",10,11,10,13,15
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",0,0,0,0,0
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",424,444,460,510,538
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",1847,2181,2538,2974,3405
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",868,997,1176,1303,1384
"3 Angkutan Laut/Sea Transport",61,72,77,81,84
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",52,60,65,67,69
"5 Angkutan Udara/Air Transport",289,345,401,445,474
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",58,62,72,79,82
"1 Penyediaan Akomodasi/Accommodation",124,137,161,178,198
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",360,404,478,543,617
"1 Jasa Perantara Keuangan/Financial Intermediary Services",584,625,717,917,1071
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",16,19,22,24,26
"3 Jasa Keuangan Lainnya/Other Financial Services",245,285,336,372,396
"4 Jasa Penunjang Keuangan/Financial Supporting Service",2,2,NA,NA,NA
