"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",81971,95210,99827,107156,114398
"a. Tanaman Pangan/Food Crops",4435,4725,5341,6049,6161
"b. Tanaman Hortikultura/Horticultural Crops",2467,2852,3382,3848,4024
"c. Tanaman Perkebunan/Plantation Crops",70665,82397,85122,90781,97245
"d. Peternakan/Livestock",3324,3949,4644,5005,5378
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",1080,1286,1338,1472,1590
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",19359,21318,25165,29016,31529
"3 Perikanan/Fishery",14115,17023,19226,20654,20845
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",224638,230863,160454,149331,142667
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",4843,4941,1649,1464,1654
"3 Pertambangan Bijih Logam/Iron Ore Mining",157,190,203,217,221
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",26756,32825,39491,40958,38426
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",10813,12069,12898,13413,14187
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",91626,103724,114706,124425,132297
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",238,275,300,327,349
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",NA,NA,NA,NA,NA
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",412,462,540,612,648
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",14514,17056,18233,20280,21597
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",2781,3208,3581,3789,3943
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",3292,3702,3810,3665,3710
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",426,475,537,579,649
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",120,140,169,185,202
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",82,93,111,113,113
"15 Industri Furnitur/Manufacture of Furniture",453,533,642,678,705
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",123,138,159,175,190
"1 Ketenagalistrikan/Electricity",99,143,219,302,349
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",81,87,92,94,94
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",12710,15150,15734,17726,18725
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",27579,37718,42219,46231,50309
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",1661,1969,2364,2601,2756
"3 Angkutan Laut/Sea Transport",1223,1448,1609,1718,1842
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",16,18,20,23,25
"5 Angkutan Udara/Air Transport",593,713,837,916,1000
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",268,311,354,383,417
"1 Penyediaan Akomodasi/Accommodation",1842,2544,2597,2750,2894
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",514,619,746,860,923
"1 Jasa Perantara Keuangan/Financial Intermediary Services",4423,4851,5034,5460,5528
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",138,160,178,196,202
"3 Jasa Keuangan Lainnya/Other Financial Services",350,404,437,468,505
"4 Jasa Penunjang Keuangan/Financial Supporting Service",15,16,17,18,20
