"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",22887,24291,25660,27779,31030
"a. Tanaman Pangan/Food Crops",4492,4686,4762,5396,5785
"b. Tanaman Hortikultura/Horticultural Crops",2204,2422,2771,2974,3390
"c. Tanaman Perkebunan/Plantation Crops",13306,13997,14581,15603,17894
"d. Peternakan/Livestock",2541,2807,3120,3359,3483
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",344,378,426,446,477
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",2188,2088,2092,2275,2297
"3 Perikanan/Fishery",1938,2151,2375,2561,2691
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",NA,NA,NA,NA,NA
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",118,125,115,98,93
"3 Pertambangan Bijih Logam/Iron Ore Mining",3145,2940,3100,4554,4675
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",2704,3269,3966,4394,4814
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",14074,16477,17942,20401,22676
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",78,90,95,104,112
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",7,8,8,9,9
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",1671,1603,1405,1511,1633
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",64,67,72,73,79
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",8,8,7,7,8
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",1340,1294,1243,1333,1440
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",128,130,143,148,153
"11 Industri Logam Dasar/Manufacture of Basic Metals",308,322,324,469,595
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",798,861,922,937,1012
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",36,41,43,46,48
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",144,169,170,186,193
"15 Industri Furnitur/Manufacture of Furniture",410,422,427,419,437
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",314,323,346,367,374
"1 Ketenagalistrikan/Electricity",58,77,103,144,171
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",7,8,9,9,10
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",6598,7203,8038,8399,8819
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",10633,12003,13681,14960,16266
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",1659,1801,2058,2308,2464
"3 Angkutan Laut/Sea Transport",419,487,505,550,502
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",856,963,1044,1132,1191
"5 Angkutan Udara/Air Transport",1034,1272,1542,1877,2398
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",1032,1167,1309,1436,1550
"1 Penyediaan Akomodasi/Accommodation",690,749,851,904,934
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",2022,2307,2643,2918,3169
"1 Jasa Perantara Keuangan/Financial Intermediary Services",2709,3059,3368,3895,4451
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",604,674,712,760,801
"3 Jasa Keuangan Lainnya/Other Financial Services",656,727,774,826,879
"4 Jasa Penunjang Keuangan/Financial Supporting Service",310,339,363,387,416
