"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",7386,7994,8908,9522,10147
"a. Tanaman Pangan/Food Crops",3695,3967,4433,4511,4712
"b. Tanaman Hortikultura/Horticultural Crops",1281,1339,1468,1639,1816
"c. Tanaman Perkebunan/Plantation Crops",1190,1369,1500,1668,1803
"d. Peternakan/Livestock",1098,1192,1372,1560,1664
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",123,127,135,144,153
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",2050,2343,2730,2901,2963
"3 Perikanan/Fishery",6160,7020,8366,8880,9167
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",NA,NA,NA,NA,NA
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",44107,40376,40955,52784,60022
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",4148,5698,7472,8561,9097
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",1002,1178,1315,1491,1698
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",48,55,62,70,72
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",4,5,5,5,6
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",1179,1364,1476,1556,1638
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",67,76,83,100,123
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",3,3,3,4,4
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",34,39,42,45,46
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",85,96,103,120,138
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",36,41,44,46,50
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",25,28,31,33,37
"15 Industri Furnitur/Manufacture of Furniture",82,94,105,115,125
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",26,29,32,35,34
"1 Ketenagalistrikan/Electricity",29,35,45,56,65
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",2,3,3,3,4
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",1735,1906,2292,2589,2816
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",8031,9391,11262,13044,14314
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",2087,2444,2842,3200,3500
"3 Angkutan Laut/Sea Transport",955,1095,1258,1410,1558
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",85,98,115,130,143
"5 Angkutan Udara/Air Transport",2458,2877,3426,4017,4427
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",224,257,296,338,377
"1 Penyediaan Akomodasi/Accommodation",516,637,744,833,911
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",360,427,489,546,606
"1 Jasa Perantara Keuangan/Financial Intermediary Services",1787,1996,2117,2307,2457
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",18,21,24,26,27
"3 Jasa Keuangan Lainnya/Other Financial Services",285,329,366,407,430
"4 Jasa Penunjang Keuangan/Financial Supporting Service",1,1,1,1,1
