"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",101807,106864,116844,129730,135088
"a. Tanaman Pangan/Food Crops",56494,57679,63870,71265,70558
"b. Tanaman Hortikultura/Horticultural Crops",20116,22402,23952,27203,30132
"c. Tanaman Perkebunan/Plantation Crops",10108,10176,10224,10493,11857
"d. Peternakan/Livestock",13344,14774,16795,18546,20224
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",1745,1832,2003,2224,2316
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",1113,1163,1238,1263,1321
"3 Perikanan/Fishery",11123,12761,14415,15824,17285
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",27213,25438,17445,16781,17184
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",1120,1004,874,881,880
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",6497,7181,7706,7685,7418
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",26077,27816,26869,25136,26131
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",48296,56287,66063,76342,83166
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",2223,2639,3065,3165,3346
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",77122,88262,98223,105045,111460
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",7127,8079,9200,10187,10895
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",5508,5749,5768,5914,5906
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",14490,14920,15749,17427,18303
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",30831,32893,36417,38578,41207
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",17165,18707,19100,19874,21597
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",11117,11150,11656,12717,13319
"11 Industri Logam Dasar/Manufacture of Basic Metals",16802,17564,17832,18036,20577
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",129488,136777,149571,156865,166854
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",45548,55758,62029,68264,75232
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",104695,119059,125298,135214,146070
"15 Industri Furnitur/Manufacture of Furniture",2480,2918,3196,3504,3810
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",5216,6181,6789,7247,7515
"1 Ketenagalistrikan/Electricity",1448,1749,2203,2662,3155
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",7335,9260,9235,9258,7701
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",28123,29961,32743,35463,38942
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",171598,181508,198885,213755,230836
"1 Angkutan Rel/Railways Transport",492,662,940,930,1193
"2 Angkutan Darat/Land Transport",49232,57437,71683,80075,86921
"3 Angkutan Laut/Sea Transport",151,175,202,194,196
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",1,1,1,1,1
"5 Angkutan Udara/Air Transport",4391,5314,8066,10037,11171
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",2434,2803,3178,3608,4009
"1 Penyediaan Akomodasi/Accommodation",5385,5839,6252,6933,7616
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",24643,27884,31847,36081,40779
"1 Jasa Perantara Keuangan/Financial Intermediary Services",26037,28132,31313,36109,38701
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",2386,2836,3201,3777,4387
"3 Jasa Keuangan Lainnya/Other Financial Services",3576,4069,4737,5578,6354
"4 Jasa Penunjang Keuangan/Financial Supporting Service",409,476,561,637,680
