"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",1974,2183,2415,2520,2759
"a. Tanaman Pangan/Food Crops",25,28,33,36,35
"b. Tanaman Hortikultura/Horticultural Crops",216,251,291,302,313
"c. Tanaman Perkebunan/Plantation Crops",1168,1283,1402,1426,1559
"d. Peternakan/Livestock",519,573,637,704,799
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",45,48,52,53,54
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",46,47,49,50,32
"3 Perikanan/Fishery",3797,4220,4624,5108,5150
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",22657,24728,27543,29236,29199
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",2359,2523,2586,2603,2669
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",1020,1185,1271,1259,1341
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",1473,1628,1792,1792,1762
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",1024,1170,1334,1549,1706
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",324,357,408,422,489
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",1268,1481,1746,1939,1949
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",98,111,120,119,123
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",728,842,970,965,975
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",449,515,522,504,587
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",404,435,488,539,569
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",2787,2916,3060,3033,3489
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",221,237,258,269,287
"11 Industri Logam Dasar/Manufacture of Basic Metals",9986,10411,9255,9245,9459
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",31930,34836,39189,43235,45029
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",3961,4253,4856,5203,5549
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",4610,4958,5467,5983,5745
"15 Industri Furnitur/Manufacture of Furniture",1602,1753,1862,2027,2228
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",2777,3218,3638,4018,4489
"1 Ketenagalistrikan/Electricity",191,205,230,334,418
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",1728,1848,1989,2135,2272
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",4649,5316,5958,6637,6987
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",6400,7882,9466,11429,13246
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",661,734,820,915,1009
"3 Angkutan Laut/Sea Transport",1346,1649,1936,2158,2411
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",7,8,9,10,11
"5 Angkutan Udara/Air Transport",2340,2701,3182,3635,3694
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",255,282,314,335,382
"1 Penyediaan Akomodasi/Accommodation",1620,1864,2118,2358,2757
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",1467,1617,1834,2000,2305
"1 Jasa Perantara Keuangan/Financial Intermediary Services",2425,2757,2970,3287,3403
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",1902,2039,2281,2455,2796
"3 Jasa Keuangan Lainnya/Other Financial Services",25,26,31,37,44
"4 Jasa Penunjang Keuangan/Financial Supporting Service",16,17,20,23,26
