"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",3024,3382,3524,3884,4238
"a. Tanaman Pangan/Food Crops",1635,1851,1898,2109,2304
"b. Tanaman Hortikultura/Horticultural Crops",183,203,216,232,251
"c. Tanaman Perkebunan/Plantation Crops",980,1075,1141,1262,1383
"d. Peternakan/Livestock",167,187,198,204,217
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",59,66,71,77,83
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",162,189,207,210,225
"3 Perikanan/Fishery",3777,4338,4546,4751,5029
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",849,984,575,479,616
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",3,71,21,22,25
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",176,214,241,253,272
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",416,471,552,621,689
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",6,7,7,8,8
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",NA,NA,NA,NA,NA
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",359,410,470,497,550
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",2,2,3,3,3
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",1,1,1,1,2
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",620,685,716,791,790
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",10,10,11,12,13
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,0,0,0,0
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",0,0,0,0,0
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,0,0,0,0
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",41,44,46,51,55
"15 Industri Furnitur/Manufacture of Furniture",5,6,7,8,8
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",5,6,7,7,7
"1 Ketenagalistrikan/Electricity",15,21,28,35,38
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",0,0,0,0,0
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",2184,2377,2696,2926,3167
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",1432,1616,1784,1957,2255
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",517,576,651,706,735
"3 Angkutan Laut/Sea Transport",236,284,321,350,373
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",139,168,184,195,200
"5 Angkutan Udara/Air Transport",510,599,659,684,719
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",40,45,50,52,53
"1 Penyediaan Akomodasi/Accommodation",397,443,504,510,542
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",112,121,126,134,142
"1 Jasa Perantara Keuangan/Financial Intermediary Services",769,856,952,1081,1176
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",203,234,266,281,299
"3 Jasa Keuangan Lainnya/Other Financial Services",17,19,22,23,24
"4 Jasa Penunjang Keuangan/Financial Supporting Service",1,1,1,1,1
