"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",7891,9047,10174,10911,11935
"a. Tanaman Pangan/Food Crops",947,1098,1164,1527,2002
"b. Tanaman Hortikultura/Horticultural Crops",977,996,1237,1429,1389
"c. Tanaman Perkebunan/Plantation Crops",5275,6178,6925,7037,7547
"d. Peternakan/Livestock",486,539,593,648,708
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",205,236,255,269,288
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",97,103,116,122,128
"3 Perikanan/Fishery",2689,3151,3561,3888,4392
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",NA,NA,NA,NA,NA
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",NA,NA,NA,NA,NA
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",519,606,730,832,896
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",1846,2812,3120,3116,3667
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",23,25,31,37,36
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",NA,NA,NA,NA,NA
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",11,12,14,16,15
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",5,5,5,6,6
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",1,1,1,1,2
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",2,2,2,2,2
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",85,96,125,129,136
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",80,89,90,103,112
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",3,3,3,3,3
"15 Industri Furnitur/Manufacture of Furniture",3,3,4,4,4
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",7,8,8,9,10
"1 Ketenagalistrikan/Electricity",7,8,7,9,12
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",3,3,3,4,4
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",616,708,730,749,772
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",2062,2384,2710,3011,3334
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",278,323,371,378,386
"3 Angkutan Laut/Sea Transport",43,48,56,55,60
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",30,32,31,37,38
"5 Angkutan Udara/Air Transport",16,21,27,34,38
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",23,25,28,31,34
"1 Penyediaan Akomodasi/Accommodation",12,13,14,16,16
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",50,57,62,69,75
"1 Jasa Perantara Keuangan/Financial Intermediary Services",442,476,523,636,726
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",3,3,3,3,3
"3 Jasa Keuangan Lainnya/Other Financial Services",109,122,133,141,150
"4 Jasa Penunjang Keuangan/Financial Supporting Service",0,0,0,0,0
