"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",100013,104364,106451,114855,124849
"a. Tanaman Pangan/Food Crops",18246,18782,21423,24358,25102
"b. Tanaman Hortikultura/Horticultural Crops",12520,12904,13577,14545,15491
"c. Tanaman Perkebunan/Plantation Crops",59744,62077,59808,63173,70307
"d. Peternakan/Livestock",8554,9567,10500,11546,12548
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",949,1034,1143,1233,1400
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",4559,5026,5504,5422,5454
"3 Perikanan/Fishery",10618,12029,13533,14639,16064
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",684,735,713,656,665
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",1466,1408,1564,1678,1735
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",4431,4756,5386,6141,6471
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",18,19,19,18,19
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",61870,70123,79961,87758,99152
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",1560,1793,1877,2117,2378
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",277,298,331,355,360
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",344,371,402,432,439
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",1298,1388,1532,1524,1628
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",1435,1492,1637,1760,2005
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",3357,3502,3286,3409,3619
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",8074,9010,9100,9456,10311
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",1770,2005,2262,2448,2461
"11 Industri Logam Dasar/Manufacture of Basic Metals",11196,12045,12949,13690,13764
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",980,1021,1095,1186,1327
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",300,335,370,409,447
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",69,78,84,89,86
"15 Industri Furnitur/Manufacture of Furniture",625,683,729,776,735
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",67,76,84,87,94
"1 Ketenagalistrikan/Electricity",332,385,408,440,502
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",266,258,231,228,286
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",7180,8135,8147,8743,9216
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",71145,81462,91675,105266,113368
"1 Angkutan Rel/Railways Transport",101,117,135,153,169
"2 Angkutan Darat/Land Transport",11212,13006,14414,16280,17697
"3 Angkutan Laut/Sea Transport",2562,2543,2632,2548,2577
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",136,157,181,193,200
"5 Angkutan Udara/Air Transport",4291,4650,4957,5719,5841
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",4688,5426,6192,6940,7794
"1 Penyediaan Akomodasi/Accommodation",1425,1625,1810,1768,1804
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",9173,10658,11976,13166,14526
"1 Jasa Perantara Keuangan/Financial Intermediary Services",11100,11724,13101,13907,14303
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",1259,1454,1661,1897,2073
"3 Jasa Keuangan Lainnya/Other Financial Services",3071,3524,3957,4478,4874
"4 Jasa Penunjang Keuangan/Financial Supporting Service",308,356,401,448,478
