"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",20731,23455,25108,26066,28305
"a. Tanaman Pangan/Food Crops",4584,4782,4987,5353,5685
"b. Tanaman Hortikultura/Horticultural Crops",2482,2752,3164,3363,3588
"c. Tanaman Perkebunan/Plantation Crops",11854,13825,14540,14592,16017
"d. Peternakan/Livestock",1475,1722,2022,2325,2545
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",336,374,394,432,470
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",1753,1907,2064,2268,2445
"3 Perikanan/Fishery",4951,5674,6472,7207,8069
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",620,623,1611,3456,3998
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",6577,3833,4148,5117,7003
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",3295,4190,5268,5618,6228
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,0,1643,4158,4823
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",2642,3205,3814,4107,4381
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",39,45,49,51,52
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",18,20,22,25,28
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",12,14,15,16,17
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",1302,1433,1484,1566,1640
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",60,72,82,92,97
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",4,5,5,5,7
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",45,52,50,53,59
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",194,215,240,249,278
"11 Industri Logam Dasar/Manufacture of Basic Metals",1,1,2807,3688,4919
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",32,38,41,43,46
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",43,46,49,54,58
"15 Industri Furnitur/Manufacture of Furniture",127,141,144,152,157
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",9,10,10,10,11
"1 Ketenagalistrikan/Electricity",27,32,31,35,43
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",1,1,1,1,1
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",1766,2069,2192,2310,2406
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",5805,6719,7794,8699,9593
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",2199,2519,2884,3100,3411
"3 Angkutan Laut/Sea Transport",176,189,224,248,278
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",29,35,39,41,43
"5 Angkutan Udara/Air Transport",734,858,926,989,1175
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",212,244,271,286,301
"1 Penyediaan Akomodasi/Accommodation",126,147,168,172,193
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",321,375,425,465,526
"1 Jasa Perantara Keuangan/Financial Intermediary Services",1614,1733,1903,2362,2641
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",43,50,57,62,68
"3 Jasa Keuangan Lainnya/Other Financial Services",296,342,381,406,441
"4 Jasa Penunjang Keuangan/Financial Supporting Service",7,8,9,10,10
