"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",54204,59607,64131,70823,74061
"a. Tanaman Pangan/Food Crops",23941,25496,28051,30986,34333
"b. Tanaman Hortikultura/Horticultural Crops",5577,6065,6518,7727,5638
"c. Tanaman Perkebunan/Plantation Crops",15169,17205,17710,18657,18870
"d. Peternakan/Livestock",7957,9007,9676,11094,12740
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",1560,1835,2177,2359,2479
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",792,905,1082,1368,1441
"3 Perikanan/Fishery",12779,14932,15513,16556,18264
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",8120,8641,7444,7582,8425
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",114,128,132,140,168
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",4836,5746,6784,7606,8732
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",14,16,14,15,17
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",24815,28876,34177,37348,42916
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",23,25,29,31,35
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",22,24,26,28,33
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",NA,NA,NA,NA,NA
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",514,551,625,690,713
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",276,327,359,397,462
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",2840,3169,3708,4084,4007
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",3688,4248,4449,4399,4933
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",2269,2571,2896,3193,3000
"11 Industri Logam Dasar/Manufacture of Basic Metals",125,139,150,159,182
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",252,279,314,340,397
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",961,1072,1084,1163,1210
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",110,123,136,149,165
"15 Industri Furnitur/Manufacture of Furniture",127,140,154,160,180
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",48,53,60,64,73
"1 Ketenagalistrikan/Electricity",105,134,173,223,262
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",21,24,29,82,223
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",6815,7960,7348,8512,9411
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",16349,17475,20126,22817,25803
"1 Angkutan Rel/Railways Transport",193,265,338,388,457
"2 Angkutan Darat/Land Transport",7205,8448,10346,11631,12762
"3 Angkutan Laut/Sea Transport",459,570,637,719,773
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",555,583,671,754,795
"5 Angkutan Udara/Air Transport",259,307,393,475,584
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",499,565,641,699,810
"1 Penyediaan Akomodasi/Accommodation",86,93,100,109,123
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",2765,3262,3720,4202,4625
"1 Jasa Perantara Keuangan/Financial Intermediary Services",3858,4040,4329,4818,5209
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",344,399,461,519,584
"3 Jasa Keuangan Lainnya/Other Financial Services",628,719,770,862,962
"4 Jasa Penunjang Keuangan/Financial Supporting Service",2,3,3,4,4
