"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",20567,22514,25383,28163,29887
"a. Tanaman Pangan/Food Crops",9016,9495,11103,12557,12896
"b. Tanaman Hortikultura/Horticultural Crops",3264,3658,3951,4185,4404
"c. Tanaman Perkebunan/Plantation Crops",2399,2657,2722,2880,3221
"d. Peternakan/Livestock",5644,6436,7310,8225,9031
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",244,268,297,316,335
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",129,131,140,147,150
"3 Perikanan/Fishery",1975,2300,2598,2800,3096
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",1271,1332,1367,1330,1347
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",112,112,107,105,110
"3 Pertambangan Bijih Logam/Iron Ore Mining",1771,2004,2074,2303,2322
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",250,280,317,343,367
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",680,725,734,715,739
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",13427,14200,15945,17161,19219
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",1,1,1,1,1
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",15925,17612,19137,19304,20459
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",11474,12405,13751,14904,14888
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",647,656,722,717,720
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",10532,13786,15086,15788,17781
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",27740,31051,33136,34784,37667
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",6104,5247,4722,4740,5067
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",5836,6022,5845,6184,6357
"11 Industri Logam Dasar/Manufacture of Basic Metals",13175,13317,14262,14386,15170
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",26361,24156,26911,29056,30752
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",1882,2060,1985,2084,2193
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",5008,5033,5669,6096,6113
"15 Industri Furnitur/Manufacture of Furniture",540,652,703,720,761
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",1619,1841,2041,2070,2073
"1 Ketenagalistrikan/Electricity",837,998,1372,1420,1878
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",4601,10003,11567,10604,10093
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",6739,7392,7926,8534,9164
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",42045,46336,51350,54664,60424
"1 Angkutan Rel/Railways Transport",129,177,231,263,293
"2 Angkutan Darat/Land Transport",8253,10081,11292,12419,13806
"3 Angkutan Laut/Sea Transport",52,61,68,73,77
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",536,624,663,677,711
"5 Angkutan Udara/Air Transport",15963,24172,31350,36471,40471
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",3790,4283,4986,5517,5964
"1 Penyediaan Akomodasi/Accommodation",342,383,428,464,499
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",8241,9614,10799,11862,13057
"1 Jasa Perantara Keuangan/Financial Intermediary Services",7349,7932,8937,10764,11428
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",3263,3686,4104,4592,5172
"3 Jasa Keuangan Lainnya/Other Financial Services",271,310,346,384,426
"4 Jasa Penunjang Keuangan/Financial Supporting Service",1,1,1,1,1
