"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",3598,4079,4356,4838,5084
"a. Tanaman Pangan/Food Crops",536,569,607,677,707
"b. Tanaman Hortikultura/Horticultural Crops",281,316,332,379,413
"c. Tanaman Perkebunan/Plantation Crops",2519,2899,3084,3408,3558
"d. Peternakan/Livestock",222,248,282,315,344
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",40,46,52,59,62
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",229,260,281,276,275
"3 Perikanan/Fishery",1694,1856,1980,2162,2369
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",NA,NA,NA,NA,NA
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",2551,2235,2320,2427,2942
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",12,14,17,19,21
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",246,304,359,413,432
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",3,3,4,4,5
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",NA,NA,NA,NA,NA
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",812,918,959,955,934
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",3,4,4,5,6
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",0,0,0,0,0
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",NA,NA,NA,NA,NA
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",7,8,9,10,11
"11 Industri Logam Dasar/Manufacture of Basic Metals",1,1,1,161,665
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",1,1,1,1,1
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",7,8,8,9,10
"15 Industri Furnitur/Manufacture of Furniture",7,8,10,10,11
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",1,1,2,1,1
"1 Ketenagalistrikan/Electricity",8,12,17,25,30
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",1,1,2,2,2
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",142,169,191,215,232
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",3245,3812,4438,4932,5388
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",430,533,627,682,761
"3 Angkutan Laut/Sea Transport",210,254,292,322,349
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",81,96,108,115,128
"5 Angkutan Udara/Air Transport",382,441,475,535,607
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",99,114,131,157,174
"1 Penyediaan Akomodasi/Accommodation",53,64,67,76,85
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",40,45,50,57,64
"1 Jasa Perantara Keuangan/Financial Intermediary Services",570,623,714,832,912
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",52,59,68,76,84
"3 Jasa Keuangan Lainnya/Other Financial Services",9,10,11,12,14
"4 Jasa Penunjang Keuangan/Financial Supporting Service",1,1,1,1,2
