"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",15437,17120,19010,20104,21485
"a. Tanaman Pangan/Food Crops",6598,7061,7761,7537,7994
"b. Tanaman Hortikultura/Horticultural Crops",1727,1867,1998,2133,2305
"c. Tanaman Perkebunan/Plantation Crops",1540,1655,1911,2107,2305
"d. Peternakan/Livestock",5232,6159,6945,7903,8442
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",340,377,395,422,439
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",88,101,114,122,129
"3 Perikanan/Fishery",2748,3235,3628,4091,4569
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",NA,NA,NA,NA,NA
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",234,258,247,264,244
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",660,728,827,902,942
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",340,374,422,465,524
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",0,0,0,0,0
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",139,158,177,194,211
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",NA,NA,NA,NA,NA
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",47,54,60,65,72
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",25,29,33,35,38
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",16,19,21,24,26
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",0,0,0,0,0
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",87,95,104,117,129
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",33,37,39,43,46
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",NA,NA,NA,NA,NA
"15 Industri Furnitur/Manufacture of Furniture",41,44,49,53,59
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",31,33,35,38,42
"1 Ketenagalistrikan/Electricity",23,33,43,59,66
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",0,0,0,0,0
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",1847,2005,2194,2415,2621
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",4723,5292,6078,6907,7450
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",2076,2312,2537,2742,2921
"3 Angkutan Laut/Sea Transport",150,178,202,223,235
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",193,218,242,270,297
"5 Angkutan Udara/Air Transport",502,560,679,926,1092
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",274,299,336,367,398
"1 Penyediaan Akomodasi/Accommodation",189,214,247,313,375
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",179,209,241,273,301
"1 Jasa Perantara Keuangan/Financial Intermediary Services",1674,1863,2043,2328,2584
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",152,173,200,217,241
"3 Jasa Keuangan Lainnya/Other Financial Services",562,661,747,810,899
"4 Jasa Penunjang Keuangan/Financial Supporting Service",1,2,2,2,2
