"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",14733,16227,18495,20088,21477
"a. Tanaman Pangan/Food Crops",3388,3522,3879,4087,4153
"b. Tanaman Hortikultura/Horticultural Crops",2625,2975,3797,4122,4214
"c. Tanaman Perkebunan/Plantation Crops",2034,2199,2621,2911,3124
"d. Peternakan/Livestock",6396,7212,7808,8509,9499
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",290,319,389,459,487
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",6,7,8,9,10
"3 Perikanan/Fishery",5712,6678,7341,8449,9415
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",NA,NA,NA,NA,NA
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",NA,NA,NA,NA,NA
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",1758,1956,1952,2096,2109
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",3247,3824,4473,4874,5380
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",44,53,59,69,74
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",570,632,745,832,893
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",286,314,345,351,367
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",2771,3177,3617,3798,3792
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",36,38,43,47,53
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",104,114,130,133,137
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",191,208,219,228,248
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",466,538,628,699,718
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",111,120,136,153,157
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",7,7,7,7,7
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",3,3,4,4,4
"15 Industri Furnitur/Manufacture of Furniture",582,686,819,904,894
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",239,271,300,314,300
"1 Ketenagalistrikan/Electricity",172,237,322,414,513
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",3,4,4,5,5
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",2799,3063,3508,3901,4457
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",8374,9864,11206,12309,14086
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",1251,1475,1581,1693,1832
"3 Angkutan Laut/Sea Transport",197,244,262,272,273
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",2381,3022,3594,3823,4025
"5 Angkutan Udara/Air Transport",6221,8071,9407,11074,12271
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",1261,1392,1540,1755,1960
"1 Penyediaan Akomodasi/Accommodation",17947,23557,26444,28443,31756
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",10989,12574,14149,15842,18485
"1 Jasa Perantara Keuangan/Financial Intermediary Services",4909,5574,6160,6839,7265
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",341,386,425,465,498
"3 Jasa Keuangan Lainnya/Other Financial Services",529,596,675,740,796
"4 Jasa Penunjang Keuangan/Financial Supporting Service",2,3,3,3,4
