"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",38121,38712,39021,40958,42073
"a. Tanaman Pangan/Food Crops",8583,8347,9358,10992,10959
"b. Tanaman Hortikultura/Horticultural Crops",2755,2819,3013,3397,3770
"c. Tanaman Perkebunan/Plantation Crops",21506,21968,20421,19690,20096
"d. Peternakan/Livestock",4128,4324,4801,5381,5752
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",1150,1254,1427,1499,1495
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",5203,5365,6590,6391,6820
"3 Perikanan/Fishery",8822,10329,11230,11830,11969
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",37200,38212,32011,29087,29343
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",18787,18541,20495,18985,20843
"3 Pertambangan Bijih Logam/Iron Ore Mining",NA,NA,NA,NA,NA
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",14043,16567,19842,21297,23058
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",13758,14615,16134,16801,17302
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",15517,18405,22563,27281,33200
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",2,2,2,2,2
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",91,102,105,111,123
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",1,1,1,1,1
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",599,640,678,673,655
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",3512,3978,4594,4617,4903
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",4406,4765,5821,5912,5820
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",8108,8371,8677,9279,10438
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",994,1112,1179,1186,1252
"11 Industri Logam Dasar/Manufacture of Basic Metals",52,56,60,55,58
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",622,657,605,591,607
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",14,15,15,17,19
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",80,84,85,88,91
"15 Industri Furnitur/Manufacture of Furniture",112,119,129,138,149
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",220,234,258,278,280
"1 Ketenagalistrikan/Electricity",143,182,245,365,425
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",46,55,56,62,68
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",6694,7138,7499,8051,8206
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",18517,20665,27588,33901,40326
"1 Angkutan Rel/Railways Transport",253,304,390,443,533
"2 Angkutan Darat/Land Transport",2452,2914,3551,4023,4628
"3 Angkutan Laut/Sea Transport",235,279,310,335,355
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",286,305,356,394,433
"5 Angkutan Udara/Air Transport",1120,1272,1581,1804,2013
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",606,626,716,813,893
"1 Penyediaan Akomodasi/Accommodation",397,459,541,639,705
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",2916,3395,4146,4889,5558
"1 Jasa Perantara Keuangan/Financial Intermediary Services",4791,5129,5506,6135,6519
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",1738,1945,2140,2341,2528
"3 Jasa Keuangan Lainnya/Other Financial Services",720,774,849,941,1027
"4 Jasa Penunjang Keuangan/Financial Supporting Service",5,6,6,7,7
