"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",10014,10979,11490,12342,13222
"a. Tanaman Pangan/Food Crops",1919,2280,2429,2412,2380
"b. Tanaman Hortikultura/Horticultural Crops",1080,989,1062,1040,1036
"c. Tanaman Perkebunan/Plantation Crops",4901,5434,5596,6231,6873
"d. Peternakan/Livestock",1965,2119,2247,2487,2755
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",150,157,156,171,178
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",556,592,631,607,641
"3 Perikanan/Fishery",7527,8626,8955,10636,12013
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",NA,NA,NA,NA,NA
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",9047,7944,9131,8682,11604
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",6535,7744,9189,10113,10623
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",1938,2426,2833,3235,3652
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",1,1,1,1,1
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",32,37,39,43,43
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",NA,NA,NA,NA,NA
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",13,14,15,16,16
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",13,15,16,17,18
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",0,1,1,1,1
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",2,2,3,3,3
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",68,75,85,93,93
"11 Industri Logam Dasar/Manufacture of Basic Metals",1453,1399,1473,1690,1849
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",392,437,455,489,551
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",133,140,144,157,163
"15 Industri Furnitur/Manufacture of Furniture",121,127,138,159,175
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",17,18,20,22,26
"1 Ketenagalistrikan/Electricity",25,29,31,37,44
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",0,0,0,1,1
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",1250,1396,1552,1764,1954
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",6827,7870,8963,10250,11527
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",1539,1768,1906,2083,2213
"3 Angkutan Laut/Sea Transport",131,145,157,170,182
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",188,201,209,233,254
"5 Angkutan Udara/Air Transport",1093,1144,1365,1586,1896
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",210,225,266,292,305
"1 Penyediaan Akomodasi/Accommodation",169,193,217,232,258
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",235,262,299,354,383
"1 Jasa Perantara Keuangan/Financial Intermediary Services",1229,1369,1537,1853,2022
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",20,23,25,28,31
"3 Jasa Keuangan Lainnya/Other Financial Services",350,423,475,539,577
"4 Jasa Penunjang Keuangan/Financial Supporting Service",2,2,NA,NA,NA
