"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",9653,10694,11578,12391,13282
"a. Tanaman Pangan/Food Crops",4193,4614,4944,5202,5611
"b. Tanaman Hortikultura/Horticultural Crops",1562,1737,1924,2119,2270
"c. Tanaman Perkebunan/Plantation Crops",1956,2153,2299,2405,2526
"d. Peternakan/Livestock",1694,1907,2109,2329,2502
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",248,283,302,336,372
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",314,331,347,352,353
"3 Perikanan/Fishery",3044,3247,3504,3795,4095
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",NA,NA,NA,NA,NA
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",736,867,894,887,900
"3 Pertambangan Bijih Logam/Iron Ore Mining",16,18,19,20,21
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",916,1005,1086,1165,1236
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",2175,2545,2758,3060,3325
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",1,1,2,2,2
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",0,0,0,1,1
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",2,2,2,2,2
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",3,3,3,3,3
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",0,0,0,0,0
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",178,189,215,236,263
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",2,2,2,2,2
"11 Industri Logam Dasar/Manufacture of Basic Metals",0,0,0,0,0
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",84,91,102,106,115
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",0,0,0,0,0
"15 Industri Furnitur/Manufacture of Furniture",18,19,21,22,24
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",3,3,3,3,4
"1 Ketenagalistrikan/Electricity",20,25,32,44,53
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",1,1,1,1,1
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",1337,1518,1683,1843,2016
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",4036,4571,5037,5846,6683
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",1706,1906,2197,2420,2698
"3 Angkutan Laut/Sea Transport",434,484,556,587,617
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",39,42,47,50,53
"5 Angkutan Udara/Air Transport",835,944,1083,1249,1406
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",62,68,75,84,95
"1 Penyediaan Akomodasi/Accommodation",35,41,47,53,61
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",540,628,725,831,958
"1 Jasa Perantara Keuangan/Financial Intermediary Services",1230,1349,1444,1568,1617
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",8,9,10,11,11
"3 Jasa Keuangan Lainnya/Other Financial Services",248,289,332,364,402
"4 Jasa Penunjang Keuangan/Financial Supporting Service",1,1,1,1,1
