"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",25124,26828,29441,31635,34206
"a. Tanaman Pangan/Food Crops",6985,7276,8439,8829,9789
"b. Tanaman Hortikultura/Horticultural Crops",4427,4865,5223,5719,6128
"c. Tanaman Perkebunan/Plantation Crops",8046,8545,9072,9872,10505
"d. Peternakan/Livestock",4429,4879,5401,5854,6308
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",1238,1263,1306,1361,1476
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",1656,1776,1825,1926,1992
"3 Perikanan/Fishery",5474,5772,6333,6684,7207
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",10620,9412,3647,2979,3404
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",1037,974,916,542,896
"3 Pertambangan Bijih Logam/Iron Ore Mining",1212,1139,762,577,411
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",1876,2053,2171,2299,2087
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",4255,3535,1365,1256,1352
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",1860,2121,2378,2643,3251
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",39,43,39,39,35
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",10,12,12,15,16
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",7,7,7,7,7
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",32,36,40,47,55
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",69,73,79,103,107
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",2795,2912,3049,2539,1998
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",180,192,182,153,138
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",177,192,215,227,235
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",31,32,32,33,33
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",50,53,54,53,51
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",28,29,29,28,30
"15 Industri Furnitur/Manufacture of Furniture",220,240,230,208,216
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",5,6,7,7,8
"1 Ketenagalistrikan/Electricity",67,79,95,120,141
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",55,56,53,48,52
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",1715,1846,2022,2270,2245
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",15798,17124,18313,20142,21596
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",8020,8422,8670,8182,8503
"3 Angkutan Laut/Sea Transport",257,269,255,199,197
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",8,9,10,12,13
"5 Angkutan Udara/Air Transport",989,1069,1158,1261,1374
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",71,78,86,92,103
"1 Penyediaan Akomodasi/Accommodation",160,185,215,219,259
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",1131,1271,1418,1656,1965
"1 Jasa Perantara Keuangan/Financial Intermediary Services",1999,2125,2273,2565,2790
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",35,37,41,48,55
"3 Jasa Keuangan Lainnya/Other Financial Services",71,76,82,87,88
"4 Jasa Penunjang Keuangan/Financial Supporting Service",1,1,1,1,1
