"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",146635,162877,179649,194503,197451
"a. Tanaman Pangan/Food Crops",62032,67330,74921,81590,78750
"b. Tanaman Hortikultura/Horticultural Crops",16023,18026,20098,22733,23733
"c. Tanaman Perkebunan/Plantation Crops",28775,32962,35910,37321,37630
"d. Peternakan/Livestock",37761,42254,46242,50112,54461
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",2044,2305,2477,2748,2877
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",7299,8263,9204,9011,9984
"3 Perikanan/Fishery",32104,37474,42090,45943,50993
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",53195,54742,40429,41779,50540
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",519,631,518,529,557
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",20064,23163,25579,27592,29749
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",899,910,916,909,1054
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",107792,122087,142810,163287,185823
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",104380,115693,129880,145180,156032
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",6350,7008,7542,8339,8764
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",5401,6117,6611,7208,8472
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",25411,28159,28835,28628,30552
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",20447,21653,23593,25217,27444
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",34304,39589,44564,44532,46978
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",18981,20562,21735,21256,22233
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",17264,19305,20872,21032,24069
"11 Industri Logam Dasar/Manufacture of Basic Metals",15303,18385,18465,19629,22605
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",19181,20888,23033,23178,23685
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",883,995,1081,1143,1095
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",5026,5265,5632,5821,5829
"15 Industri Furnitur/Manufacture of Furniture",12383,14264,15535,16258,16595
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",3994,4400,4647,4825,5028
"1 Ketenagalistrikan/Electricity",1200,1355,1518,1651,1987
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",3968,4257,4430,4553,4688
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",72594,77735,82313,89214,96720
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",172150,188999,215303,244783,270466
"1 Angkutan Rel/Railways Transport",325,415,526,616,674
"2 Angkutan Darat/Land Transport",11994,13944,15885,17878,20349
"3 Angkutan Laut/Sea Transport",3305,4102,4626,4977,5365
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",444,492,542,596,637
"5 Angkutan Udara/Air Transport",11158,13476,15471,17848,19203
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",15209,17571,19583,20860,22949
"1 Penyediaan Akomodasi/Accommodation",8591,11465,12469,13713,15223
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",59313,68481,79007,91270,100835
"1 Jasa Perantara Keuangan/Financial Intermediary Services",23740,26766,30184,33212,35176
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",5405,6214,7073,8024,8711
"3 Jasa Keuangan Lainnya/Other Financial Services",7213,8135,9032,10228,11025
"4 Jasa Penunjang Keuangan/Financial Supporting Service",83,90,99,111,122
