"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",5844,6981,7785,8508,8321
"a. Tanaman Pangan/Food Crops",273,286,321,353,352
"b. Tanaman Hortikultura/Horticultural Crops",980,1101,1242,1338,1363
"c. Tanaman Perkebunan/Plantation Crops",4002,4934,5478,5987,5699
"d. Peternakan/Livestock",479,533,601,675,738
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",110,125,143,155,169
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",168,190,221,240,245
"3 Perikanan/Fishery",3257,3666,4054,4379,4580
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",471,500,477,477,545
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",4990,5253,5237,5138,5440
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",1636,1870,2021,2128,2194
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",3016,3559,3990,4277,4803
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",38,42,42,45,48
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",NA,NA,NA,NA,NA
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",271,297,298,296,304
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",46,48,52,55,62
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",23,28,32,32,34
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",376,377,380,379,422
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",738,773,792,797,784
"11 Industri Logam Dasar/Manufacture of Basic Metals",7374,7533,7063,6971,7584
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",130,137,146,139,133
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",47,50,56,59,60
"15 Industri Furnitur/Manufacture of Furniture",10,11,12,12,13
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",19,22,25,26,28
"1 Ketenagalistrikan/Electricity",22,36,45,60,73
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",5,6,7,7,7
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",1197,1383,1499,1678,1821
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",5475,6231,7136,7964,9070
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",585,686,827,912,1048
"3 Angkutan Laut/Sea Transport",340,383,436,453,485
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",30,34,40,41,40
"5 Angkutan Udara/Air Transport",639,718,816,874,952
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",270,305,344,363,375
"1 Penyediaan Akomodasi/Accommodation",69,76,83,88,96
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",1083,1245,1377,1522,1639
"1 Jasa Perantara Keuangan/Financial Intermediary Services",731,805,876,959,1032
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",43,50,55,59,60
"3 Jasa Keuangan Lainnya/Other Financial Services",127,142,162,178,187
"4 Jasa Penunjang Keuangan/Financial Supporting Service",1,2,2,2,2
