"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",17431,24004,24703,27202,31710
"a. Tanaman Pangan/Food Crops",1118,1189,1234,990,1111
"b. Tanaman Hortikultura/Horticultural Crops",1374,1474,1679,1822,1933
"c. Tanaman Perkebunan/Plantation Crops",13443,19776,20087,22548,26621
"d. Peternakan/Livestock",1301,1345,1489,1608,1794
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",194,220,213,233,252
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",5776,6108,6708,6800,6811
"3 Perikanan/Fishery",6142,6836,7568,7842,8625
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",75197,67788,47102,43490,46901
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",197397,181469,163073,157351,207258
"3 Pertambangan Bijih Logam/Iron Ore Mining",516,435,434,464,474
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",13529,15192,16838,18450,19728
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",62207,68565,66815,64543,69451
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",8701,10497,10983,13262,15694
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",NA,NA,NA,NA,NA
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",65,72,77,84,91
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",16,18,18,20,22
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",3240,3301,3459,3615,3589
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",2274,2417,2713,2954,3319
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",14254,14136,16776,17132,17352
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",159,159,162,161,156
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",463,532,586,646,686
"11 Industri Logam Dasar/Manufacture of Basic Metals",NA,NA,NA,NA,NA
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",549,634,712,772,786
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",107,127,135,147,155
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",759,874,895,941,978
"15 Industri Furnitur/Manufacture of Furniture",369,431,474,471,463
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",155,171,194,222,247
"1 Ketenagalistrikan/Electricity",104,124,201,228,275
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",3,4,4,5,6
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",2586,2753,2882,3015,3297
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",19706,21399,22963,25141,28079
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",2005,2265,2444,2506,2794
"3 Angkutan Laut/Sea Transport",2373,2682,2676,2679,2934
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",1084,1258,1339,1421,1597
"5 Angkutan Udara/Air Transport",3583,4271,4921,5703,6776
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",4347,5283,6072,6583,7335
"1 Penyediaan Akomodasi/Accommodation",599,679,729,736,817
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",2824,3148,3633,4121,4673
"1 Jasa Perantara Keuangan/Financial Intermediary Services",5234,5520,5801,5969,5923
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",850,973,1055,1139,1293
"3 Jasa Keuangan Lainnya/Other Financial Services",1325,1414,1531,1654,1836
"4 Jasa Penunjang Keuangan/Financial Supporting Service",0,0,0,0,0
