"Nama Sub-Industri","2013","2014","2015","2016","2017"
"1 Pertanian, Peternakan, Perburuan dan Jasa Pertanian/Agriculture, Livestock, Hunting and",39231,45361,50944,57156,60736
"a. Tanaman Pangan/Food Crops",20645,23220,26025,29662,31513
"b. Tanaman Hortikultura/Horticultural Crops",3484,3980,4435,4927,5162
"c. Tanaman Perkebunan/Plantation Crops",11080,13598,15494,16907,17845
"d. Peternakan/Livestock",2921,3317,3674,4198,4583
"e. Jasa Pertanian dan Perburuan/Agriculture Services and Hunting",1100,1245,1315,1461,1634
"2 Kehutanan dan Penebangan Kayu/Forestry and Logging",231,248,258,257,273
"3 Perikanan/Fishery",17906,22857,27580,30915,34887
"1 Pertambangan Minyak, Gas dan Panas Bumi/Crude Petroleum, Natural Gas, and Geothermal",2318,2813,2728,2478,2429
"2 Pertambangan Batubara dan Lignit/Coal and Lignite Mining",NA,NA,NA,NA,NA
"3 Pertambangan Bijih Logam/Iron Ore Mining",10632,11972,10951,9915,10581
"4 Pertambangan dan Penggalian Lainnya/Other Mining and Quarrying",4934,6397,7842,8838,9465
"1 Industri Batubara dan Pengilangan Migas/Manufacture of Coal and Refined Petroleum Products",NA,NA,NA,NA,NA
"2 Industri Makanan dan Minuman/Manufacture of Food Products and Beverages",16262,19602,23137,26378,30044
"3 Industri Pengolahan Tembakau/Manufacture of Tobacco Products",39,47,55,53,67
"4 Industri Tekstil dan Pakaian Jadi/Manufacture of Textiles; and Wearing Apparel",33,36,40,43,46
"5 Industri Kulit, Barang dari Kulit dan Alas Kaki/Manufacture of Leather and Related Products and",199,218,227,253,282
"6 Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya/",582,640,679,765,756
"7 Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman/Manufacture of",307,369,401,378,413
"8 Industri Kimia, Farmasi dan Obat Tradisional/Manufacture of Chemicals and Pharmaceuticals  and",27,28,32,33,35
"9 Industri Karet, Barang dari Karet dan Plastik/Manufacture of Rubber, Rubber Products and Plastics",118,120,125,127,132
"10 Industri Barang Galian bukan Logam/Manufacture of Other Non-Metallic Mineral  Products",16528,19084,20880,23220,23700
"11 Industri Logam Dasar/Manufacture of Basic Metals",228,255,280,294,306
"12 Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik/Manufacture of",1030,1110,1237,1313,1505
"13 Industri Mesin dan Perlengkapan /Manufacture of Machinery and Equipment",NA,NA,NA,NA,NA
"14 Industri Alat Angkutan/Manufacture of Transport Equipment",48,53,58,52,51
"15 Industri Furnitur/Manufacture of Furniture",35,39,46,48,50
"16 Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan/Other",51,51,53,58,65
"1 Ketenagalistrikan/Electricity",171,197,184,210,258
"2  Pengadaan Gas dan Produksi Es/Manufacture of Gas and Production of Ice",7,8,9,10,11
"1 Perdagangan Mobil, Sepeda Motor dan Reparasinya/Wholesale and Retail Trade and Repair of",8150,9028,10321,11635,12782
"2 Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor/Wholesale Trade and Retail Trade",25484,28596,33467,39202,45599
"1 Angkutan Rel/Railways Transport",NA,NA,NA,NA,NA
"2 Angkutan Darat/Land Transport",3405,4156,5307,5518,5927
"3 Angkutan Laut/Sea Transport",675,859,899,890,996
"4 Angkutan Sungai Danau dan Penyeberangan/River, Lake, and Ferry  Transport",292,357,408,448,480
"5 Angkutan Udara/Air Transport",4622,4885,5829,7253,7615
"6 Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir/Warehousing and Support Services for",1432,1572,1803,2061,2496
"1 Penyediaan Akomodasi/Accommodation",758,816,878,994,1154
"2 Penyediaan Makan Minum/Food and Beverage Service Activities",2806,3292,3671,3998,4542
"1 Jasa Perantara Keuangan/Financial Intermediary Services",6582,7162,7955,9443,9859
"2 Asuransi dan Dana Pensiun/Insurance and Pension Fund",292,355,417,465,516
"3 Jasa Keuangan Lainnya/Other Financial Services",2687,3265,3836,4402,5363
"4 Jasa Penunjang Keuangan/Financial Supporting Service",36,42,48,53,59
